idfont;"weight"
1;"regular"
1;"italic"
2;"regular"
3;"regular"
3;"500"
3;"600"
3;"700"
3;"800"
4;"regular"
5;"regular"
6;"regular"
7;"regular"
8;"regular"
9;"100"
9;"200"
9;"300"
9;"regular"
9;"500"
9;"600"
9;"700"
10;"regular"
11;"regular"
12;"regular"
13;"regular"
14;"regular"
15;"regular"
16;"regular"
17;"regular"
18;"regular"
18;"700"
19;"regular"
19;"500"
19;"600"
19;"700"
19;"800"
19;"900"
19;"italic"
19;"500italic"
19;"600italic"
19;"700italic"
19;"800italic"
19;"900italic"
20;"regular"
20;"italic"
20;"500"
20;"500italic"
20;"700"
20;"700italic"
20;"800"
20;"800italic"
20;"900"
20;"900italic"
21;"100"
21;"100italic"
21;"300"
21;"300italic"
21;"regular"
21;"italic"
21;"500"
21;"500italic"
21;"700"
21;"700italic"
21;"800"
21;"800italic"
21;"900"
21;"900italic"
22;"100"
22;"100italic"
22;"300"
22;"300italic"
22;"regular"
22;"italic"
22;"500"
22;"500italic"
22;"700"
22;"700italic"
22;"800"
22;"800italic"
22;"900"
22;"900italic"
23;"300"
23;"300italic"
23;"regular"
23;"italic"
23;"700"
23;"700italic"
24;"regular"
25;"regular"
26;"regular"
27;"regular"
28;"regular"
29;"regular"
29;"700"
30;"regular"
31;"regular"
32;"regular"
33;"regular"
34;"300"
34;"regular"
34;"700"
34;"800"
35;"regular"
35;"italic"
35;"700"
35;"700italic"
36;"regular"
37;"regular"
38;"100"
38;"200"
38;"300"
38;"regular"
38;"500"
38;"600"
38;"700"
38;"800"
38;"900"
38;"100italic"
38;"200italic"
38;"300italic"
38;"italic"
38;"500italic"
38;"600italic"
38;"700italic"
38;"800italic"
38;"900italic"
39;"regular"
40;"regular"
40;"italic"
40;"700"
40;"700italic"
41;"regular"
41;"700"
42;"regular"
43;"regular"
43;"600"
43;"700"
44;"regular"
44;"italic"
44;"700"
44;"700italic"
45;"regular"
45;"700"
46;"regular"
47;"regular"
47;"500"
47;"600"
47;"700"
47;"800"
47;"italic"
47;"500italic"
47;"600italic"
47;"700italic"
47;"800italic"
48;"regular"
49;"regular"
49;"italic"
49;"700"
49;"700italic"
50;"regular"
51;"regular"
52;"regular"
52;"italic"
52;"700"
52;"700italic"
53;"regular"
54;"regular"
55;"regular"
56;"regular"
57;"100"
57;"200"
57;"300"
57;"regular"
57;"500"
57;"600"
57;"700"
58;"regular"
58;"italic"
59;"regular"
60;"regular"
61;"regular"
62;"100"
62;"200"
62;"300"
62;"regular"
62;"500"
62;"600"
62;"700"
62;"800"
62;"900"
62;"100italic"
62;"200italic"
62;"300italic"
62;"italic"
62;"500italic"
62;"600italic"
62;"700italic"
62;"800italic"
62;"900italic"
63;"regular"
64;"regular"
64;"italic"
64;"500"
64;"500italic"
64;"600"
64;"600italic"
64;"700"
64;"700italic"
65;"regular"
65;"700"
66;"100"
66;"200"
66;"300"
66;"regular"
66;"500"
66;"700"
66;"800"
66;"900"
67;"regular"
67;"500"
67;"600"
67;"700"
67;"italic"
67;"500italic"
67;"600italic"
67;"700italic"
68;"regular"
69;"regular"
70;"regular"
70;"italic"
70;"700"
70;"700italic"
71;"regular"
72;"regular"
72;"italic"
72;"700"
72;"700italic"
73;"regular"
73;"700"
74;"regular"
74;"500"
74;"600"
74;"700"
74;"italic"
74;"500italic"
74;"600italic"
74;"700italic"
75;"regular"
75;"italic"
75;"500"
75;"500italic"
75;"600"
